"BehaviorSpace results (NetLogo 6.1.1)"
"Modelo.nlogo"
"experiment"
"07/03/2020 00:45:24:840 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","fakenews-rate","public-groups?","num-users","graphics?","debug?","perc-public-groups","[step]","count posts","count posts with [shared?]","count posts with [fakenews? and not shared?]","count posts with [fakenews? and shared?]","count users with [public-group?]","count users with [id-group = 0]","count users with [id-group = 1]","count users with [id-group = 2]","mean [num-posts] of users"
"7","10","true","1000","false","false","8","8","56970","56694","28","5005","95","940","22","38","0.276"
"6","10","true","1000","false","false","8","9","65119","64798","37","6686","71","955","23","22","0.321"
"2","10","true","1000","false","false","8","9","66561","66262","32","7343","75","952","24","24","0.299"
"4","10","true","1000","false","false","8","9","62899","62558","31","5692","77","960","19","21","0.341"
"3","10","true","1000","false","false","8","9","72161","71825","32","6484","71","958","22","20","0.336"
"8","10","true","1000","false","false","8","9","70036","69713","31","6871","79","946","26","28","0.323"
"1","10","true","1000","false","false","8","10","83958","83627","27","6239","70","956","21","23","0.331"
"6","10","true","1000","false","false","8","10","83212","82850","40","8743","71","955","23","22","0.362"
"7","10","true","1000","false","false","8","9","73618","73316","31","6416","95","940","22","38","0.302"
"5","10","true","1000","false","false","8","9","81667","81322","45","8263","73","947","29","24","0.345"
"2","10","true","1000","false","false","8","10","83651","83313","36","8932","75","952","24","24","0.338"
"4","10","true","1000","false","false","8","10","83146","82765","38","7329","77","960","19","21","0.381"
"3","10","true","1000","false","false","8","10","91068","90690","33","8930","71","958","22","20","0.378"
"8","10","true","1000","false","false","8","10","88647","88297","33","9333","79","946","26","28","0.35"
"6","10","true","1000","false","false","8","11","101156","100742","45","10399","71","955","23","22","0.414"
"7","10","true","1000","false","false","8","10","89442","89100","34","7967","95","940","22","38","0.342"
"2","10","true","1000","false","false","8","11","101443","101068","38","10606","75","952","24","24","0.375"
"1","10","true","1000","false","false","8","11","104629","104258","33","8312","70","956","21","23","0.371"
